FCM_sample,Latitude,Temperature,Date_Started,Date_Harvested,Experiments,Replicates,Treatments
1,26,22,11-Apr,14-Apr,1,1,control
2,26,22,11-Apr,14-Apr,1,2,control
3,26,22,11-Apr,14-Apr,1,3,control
4,26,22,11-Apr,14-Apr,1,1,NH4
5,26,22,11-Apr,14-Apr,1,2,NH4
6,26,22,11-Apr,14-Apr,1,3,NH4
7,26,22,11-Apr,14-Apr,1,1,NO3
8,26,22,11-Apr,14-Apr,1,2,NO3
9,26,22,11-Apr,14-Apr,1,3,NO3
10,26,22,11-Apr,14-Apr,1,1,Fe
11,26,22,11-Apr,14-Apr,1,2,Fe
12,26,22,11-Apr,14-Apr,1,3,Fe
13,26,22,11-Apr,14-Apr,1,1,FeNO3
14,26,22,11-Apr,14-Apr,1,2,FeNO3
15,26,22,11-Apr,14-Apr,1,3,FeNO3
16,29.3,19,12-Apr,15-Apr,2,1,control
17,29.3,19,12-Apr,15-Apr,2,2,control
18,29.3,19,12-Apr,15-Apr,2,3,control
19,29.3,19,12-Apr,15-Apr,2,1,NH4
20,29.3,19,12-Apr,15-Apr,2,2,NH4
21,29.3,19,12-Apr,15-Apr,2,3,NH4
22,29.3,19,12-Apr,15-Apr,2,1,NO3
23,29.3,19,12-Apr,15-Apr,2,2,NO3
24,29.3,19,12-Apr,15-Apr,2,3,NO3
25,29.3,19,12-Apr,15-Apr,2,1,Fe
26,29.3,19,12-Apr,15-Apr,2,2,Fe
27,29.3,19,12-Apr,15-Apr,2,3,Fe
28,29.3,19,12-Apr,15-Apr,2,1,FeNO3
29,29.3,19,12-Apr,15-Apr,2,2,FeNO3
30,29.3,19,12-Apr,15-Apr,2,3,FeNO3
31,32,18,13-Apr,16-Apr,3,1,control
32,32,18,13-Apr,16-Apr,3,2,control
33,32,18,13-Apr,16-Apr,3,3,control
34,32,18,13-Apr,16-Apr,3,1,NH4
35,32,18,13-Apr,16-Apr,3,2,NH4
36,32,18,13-Apr,16-Apr,3,3,NH4
37,32,18,13-Apr,16-Apr,3,1,NO3
38,32,18,13-Apr,16-Apr,3,2,NO3
39,32,18,13-Apr,16-Apr,3,3,NO3
40,32,18,13-Apr,16-Apr,3,1,Fe
41,32,18,13-Apr,16-Apr,3,2,Fe
42,32,18,13-Apr,16-Apr,3,3,Fe
43,32,18,13-Apr,16-Apr,3,1,FeNO3
44,32,18,13-Apr,16-Apr,3,2,FeNO3
45,32,18,13-Apr,16-Apr,3,3,FeNO3
46,35.8,15,14-Apr,17-Apr,4,1,control
47,35.8,15,14-Apr,17-Apr,4,2,control
48,35.8,15,14-Apr,17-Apr,4,3,control
49,35.8,15,14-Apr,17-Apr,4,1,NH4
50,35.8,15,14-Apr,17-Apr,4,2,NH4
51,35.8,15,14-Apr,17-Apr,4,3,NH4
52,35.8,15,14-Apr,17-Apr,4,1,NO3
53,35.8,15,14-Apr,17-Apr,4,2,NO3
54,35.8,15,14-Apr,17-Apr,4,3,NO3
55,35.8,15,14-Apr,17-Apr,4,1,Fe
56,35.8,15,14-Apr,17-Apr,4,2,Fe
57,35.8,15,14-Apr,17-Apr,4,3,Fe
58,35.8,15,14-Apr,17-Apr,4,1,FeNO3
59,35.8,15,14-Apr,17-Apr,4,2,FeNO3
60,35.8,15,14-Apr,17-Apr,4,3,FeNO3
61,41.6,10,18-Apr,21-Apr,5,1,control
62,41.6,10,18-Apr,21-Apr,5,2,control
63,41.6,10,18-Apr,21-Apr,5,3,control
64,41.6,10,18-Apr,21-Apr,5,1,NH4
65,41.6,10,18-Apr,21-Apr,5,2,NH4
66,41.6,10,18-Apr,21-Apr,5,3,NH4
67,41.6,10,18-Apr,21-Apr,5,1,NO3
68,41.6,10,18-Apr,21-Apr,5,2,NO3
69,41.6,10,18-Apr,21-Apr,5,3,NO3
70,41.6,10,18-Apr,21-Apr,5,1,Fe
71,41.6,10,18-Apr,21-Apr,5,2,Fe
72,41.6,10,18-Apr,21-Apr,5,3,Fe
73,41.6,10,18-Apr,21-Apr,5,1,FeNO3
74,41.6,10,18-Apr,21-Apr,5,2,FeNO3
75,41.6,10,18-Apr,21-Apr,5,3,FeNO3
76,41.6,10,18-Apr,21-Apr,5,1,Co
77,41.6,10,18-Apr,21-Apr,5,2,Co
78,41.6,10,18-Apr,21-Apr,5,3,Co
79,41.6,10,18-Apr,21-Apr,5,1,CoFeNO3
80,41.6,10,18-Apr,21-Apr,5,2,CoFeNO3
81,41.6,10,18-Apr,21-Apr,5,3,CoFeNO3
82,37,14,20-Apr,23-Apr,6,1,control
83,37,14,20-Apr,23-Apr,6,2,control
84,37,14,20-Apr,23-Apr,6,3,control
85,37,14,20-Apr,23-Apr,6,1,NH4
86,37,14,20-Apr,23-Apr,6,2,NH4
87,37,14,20-Apr,23-Apr,6,3,NH4
88,37,14,20-Apr,23-Apr,6,1,NO3
89,37,14,20-Apr,23-Apr,6,2,NO3
90,37,14,20-Apr,23-Apr,6,3,NO3
91,37,14,20-Apr,23-Apr,6,1,Fe
92,37,14,20-Apr,23-Apr,6,2,Fe
93,37,14,20-Apr,23-Apr,6,3,Fe
94,37,14,20-Apr,23-Apr,6,1,FeNO3
95,37,14,20-Apr,23-Apr,6,2,FeNO3
96,37,14,20-Apr,23-Apr,6,3,FeNO3
97,42.3,10,24-Apr,27-Apr,7,1,control
98,42.3,10,24-Apr,27-Apr,7,2,control
99,42.3,10,24-Apr,27-Apr,7,3,control
100,42.3,10,24-Apr,27-Apr,7,1,NH4
101,42.3,10,24-Apr,27-Apr,7,2,NH4
102,42.3,10,24-Apr,27-Apr,7,3,NH4
103,42.3,10,24-Apr,27-Apr,7,1,NO3
104,42.3,10,24-Apr,27-Apr,7,2,NO3
105,42.3,10,24-Apr,27-Apr,7,3,NO3
106,42.3,10,24-Apr,27-Apr,7,1,Fe
107,42.3,10,24-Apr,27-Apr,7,2,Fe
108,42.3,10,24-Apr,27-Apr,7,3,Fe
109,42.3,10,24-Apr,27-Apr,7,1,FeNO3
110,42.3,10,24-Apr,27-Apr,7,2,FeNO3
111,42.3,10,24-Apr,27-Apr,7,3,FeNO3
112,42.3,10,24-Apr,27-Apr,7,1,10C 500 mL control
113,42.3,10,24-Apr,27-Apr,7,2,10C 500 mL control
114,42.3,10,24-Apr,27-Apr,7,3,10C 500 mL control
115,42.3,10,24-Apr,27-Apr,7,1,10C 500 mL Fe
116,42.3,10,24-Apr,27-Apr,7,2,10C 500 mL Fe
