file,Sample,date,volume,comments
NH_002,NH-70,21/04,100, NA
NH_003,NH-64,21/04,100, NA
NH_004,NH-51,17/04,10, clog
NH_005,NH-51,17/04,100, NA
NH_006,NH-74,21/04,100, NA
NH_007,NH-60,17/04,110, NA
NH_008,NH-75,21/04,100, NA
NH_009,NH-56,17/04,100, NA
NH_010,NH-47,17/04,100, NA
NH_011,NH-58,17/04,125, NA
NH_012,NH-52,17/04,100, NA
NH_013,NH-50,17/04,120, NA
NH_014,NH-69,21/04,400, NA
NH_015,NH-71,21/04,125, NA
NH_016,NH-62,21/04,100, NA
NH_017,NH-46,17/04,100, NA
NH_018,NH-53,17/04,250, NA
NH_019,NH-77,21/04,100, NA
NH_020,NH-68,21/04,100, NA
NH_021,NH-66,21/04,100, NA
NH_022,NH-61,21/04,100, NA
NH_023,NH-67,21/04,100, NA
NH_024,NH-57,17/04,100, NA
NH_025,NH-76,21/04,100, NA
NH_026,NH-65,21/04,100, NA
NH_027,NH-78,21/04,120, NA
NH_028,NH-80,21/04,100, NA
NH_029,NH-81,21/04,100, NA
NH_030,NH-79,21/04,100, NA
NH_031,NH-73,21/04,100, NA
NH_044,NH-44,16/04,100.6,
NH_42,NH-42,16/04,100.7,
NH_36,NH-36,16/04,100.6,
NH_55,NH-55.17/04,100.4,
NH_31,NH-31,16/04,100.6,
NH_32,NH-32,16/04,100.5,
NH_54,NH-54,17/04,100.8,
NH_49,NH-49,14/04,100.4,
NH_72,NH-72,21/04,100.3,
NH_45,NH-45,16/04,100.1,
NH_48,NH-48,17/04,100,
NH_001,,,, bad
NH_43,NH-43,16/04,100,
NH_032,,,, bad
NH_39,NH-39,16/04,100,
NH_59,NH-59,17/04,100,
NH_40,NH-40,16/4,100,
NH_41,NH-41,16/4,100,
NH_34,NH-34,16/4,100,
NH_35,NH-35,16/4,100,
NH_37,NH-37,16/4,100,
NH_38,NH-38,16/4,100,
NH_29,NH-29,15/4,100,
NH_040,NH-40,16/4,100,
NH_033,NH-20,15/4,100,
NH_034,NH-28,15/4,100,
NH_035,NH-81,21/4,100,
NH_036,NH-20,15/4,100,
NH_037,NH-64,21/4,100,
NH_038,NH-74,21/4,100,
NH_039,NH-66,21/4,100,
NH_041,,,, bad
NH_042,NH-62,21/4,100,
NH_043,NH-25,15/4,100,
NH_045,NH-33,16/4,100,
NH_046,NH-23,15/4,100,
NH_047,NH-63,21/4,100,
NH_048,NH-26,15/4,100,
NH_049,NH-19,15/4,100,
NH_050,NH-25,15/4,100,
NH_051,NH-79,21/4,100,
NH_052,NH-34,16/4,100,
NH_053,NH-29,15/4,100,
NH_054,NH-80,21/4,100,
NH_055,NH-28,15/4,100,
NH_056,NH-38,16/4,105, may be 100... the flow was acting weird
NH_057,,,, bad
NH_058,NH-65,21/4,100,
NH_059,NH 16,15/4,100,
NH_060,NH-T0,11/4,100,
NH_061,NH-34,16/4,100,
NH_062,NH-17,15/4,100,
